custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,id,predict_SVM,predict_randomForest,predict_logistic,Final
29,0,2,3,0,1,0,0,3,1,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,27,0,0,0,0
30,1,1,1,0,0,0,1,6,0,2,999,0,1,1.1,93.994,-36.4,4.864,5191,999,0,28,0,0,0,0
42.73583805,0,1,3,0,0,0,1,4,1,2,999,0,1,1.4,94.465,-41.8,4.96,5228.1,999,0,29,0,0,0,0
29,9,1,5,0,1,0,0,7,3,2,999,0,1,-0.1,93.2,-42,4.153,5195.8,999,0,30,0,0,0,0
37.33736236,1,2,0,0,1,0,0,6,0,1,999,0,1,-1.8,92.893,-46.2,1.25,5099.1,999,0,31,0,0,0,0
63,9,1,5,0,0,0,0,1,3,1,999,1,0,-2.9,92.201,-31.4,0.838,5076.2,999,2,32,0,0,0,0
31.93261905,0,2,3,0,1,0,0,0,4,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,999,0,33,0,1,0,0
36.16517011,7,2,3,0,1,0,1,6,2,3,999,0,1,1.1,93.994,-36.4,4.86,5191,999,0,34,0,0,0,0
33.98626889,0,1,3,0,0,0,0,3,4,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,35,0,0,0,0
19,8,2,3,0,1,1,0,0,0,4,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,999,0,36,0,1,0,0
36,1,1,2,0,1,0,1,6,0,6,999,0,1,1.1,93.994,-36.4,4.864,5191,999,0,37,0,0,0,0
52,0,1,3,0,1,0,0,7,4,2,999,1,0,-0.1,93.2,-42,4.12,5195.8,999,0,38,0,0,0,0
56,7,1,3,0,0,0,0,7,1,1,999,0,1,-0.1,93.2,-42,4.191,5195.8,999,0,39,0,0,0,0
31.39180358,1,2,2,0,1,0,0,3,3,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,40,0,0,0,0
45.77479927,1,0,1,0,0,0,0,7,3,1,999,0,1,-0.1,93.2,-42,4.153,5195.8,999,0,41,0,0,0,0
43.57325221,9,1,5,0,1,1,0,1,1,2,999,0,1,1.4,93.444,-36.1,4.97,5228.1,999,0,42,0,0,0,0
31,7,2,3,0,1,0,0,3,2,5,999,0,1,1.4,93.918,-42.7,4.968,5228.1,999,0,43,0,0,0,0
40,4,0,6,0,1,1,1,6,0,3,999,0,1,1.1,93.994,-36.4,4.864,5191,999,0,44,0,0,0,0
42.98122566,9,1,5,0,0,0,1,6,3,10,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,45,0,0,0,0
42,1,0,0,0,0,0,1,6,0,4,999,0,1,1.1,93.994,-36.4,4.864,5191,999,0,46,0,0,0,0
40.55165913,1,1,1,0,0,0,1,6,4,2,999,0,1,1.1,93.994,-36.4,4.858,5191,999,0,47,0,0,0,0
38,9,2,5,0,0,0,0,0,1,6,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,999,0,48,0,0,0,0
49,7,1,3,0,0,1,1,6,3,2,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,49,0,0,0,0
40,0,0,6,0,0,0,0,7,3,2,999,0,1,-0.1,93.2,-42,4.153,5195.8,999,0,50,0,0,0,0
28,0,0,6,0,1,0,0,6,2,1,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,999,0,51,0,0,0,0
36,7,1,3,0,1,0,1,4,2,2,999,0,1,1.4,94.465,-41.8,4.866,5228.1,999,0,52,0,0,0,0
34,0,2,3,0,0,0,1,4,4,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,999,0,53,0,0,0,0
51,1,1,0,0,0,0,0,6,1,2,999,1,0,-1.8,92.893,-46.2,1.299,5099.1,999,2,54,0,0,0,0
37.52380952,1,2,5,0,0,0,0,6,3,1,999,1,0,-1.8,93.876,-40,0.668,5008.7,999,3,55,0,0,0,0
25,1,1,2,0,1,0,1,6,0,2,999,0,1,1.1,93.994,-36.4,4.855,5191,999,0,56,0,0,0,0
25,1,1,2,0,0,0,1,6,3,3,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,57,0,0,0,0
38,9,1,5,0,0,0,0,3,1,3,999,0,1,1.4,93.918,-42.7,4.96,5228.1,999,0,58,0,0,0,0
39,1,2,2,0,1,0,0,3,1,3,999,0,1,1.4,93.918,-42.7,4.96,5228.1,999,0,59,0,0,0,0
51.37962059,1,1,0,0,1,0,0,1,0,3,999,0,1,1.4,93.444,-36.1,4.966,5228.1,999,0,60,0,0,0,0
35,0,1,6,0,0,1,1,4,2,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,999,0,61,0,0,0,0
56,5,1,3,0,0,0,1,6,3,2,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,62,0,0,0,0
33,1,1,2,0,1,0,0,3,3,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1,999,0,63,0,0,0,0
41,0,2,6,0,1,1,0,7,0,2,999,0,1,-0.1,93.2,-42,4.021,5195.8,999,0,64,0,0,0,0
28,0,2,6,0,1,0,1,4,2,6,999,0,1,1.4,94.465,-41.8,4.866,5228.1,999,0,65,0,0,0,0
32,9,1,6,0,1,0,0,7,1,1,999,0,1,-3.4,92.649,-30.1,0.714,5017.5,999,0,66,1,0,0,0
30,1,1,2,0,0,0,0,3,1,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,67,0,0,0,0
56,4,1,6,0,1,0,0,4,4,3,999,0,1,-2.9,92.963,-40.8,1.26,5076.2,999,0,68,0,0,0,0
59,5,1,1,0,0,0,0,1,4,2,999,1,0,-2.9,92.201,-31.4,0.884,5076.2,999,4,69,0,0,0,0
46,1,1,2,0,1,0,0,0,1,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,999,0,70,0,0,0,0
37.27666875,0,1,3,0,1,1,1,3,1,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,71,0,0,0,0
35,2,1,2,0,1,1,1,6,2,2,999,0,1,1.1,93.994,-36.4,4.86,5191,999,0,72,0,0,0,0
40,0,1,6,0,1,0,0,1,2,2,999,0,1,1.4,93.444,-36.1,4.964,5228.1,999,0,73,0,0,0,0
51,1,1,5,0,0,1,1,6,3,2,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,74,0,0,0,0
32.75,7,2,5,0,1,0,0,4,3,1,999,2,0,-2.9,92.963,-40.8,1.262,5076.2,999,4,75,0,0,0,0
57,9,0,1,0,1,0,0,6,1,5,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,999,0,76,0,0,0,0
53,1,0,0,0,0,0,1,4,4,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1,999,0,77,0,0,0,0
43,10,1,6,0,0,0,1,1,3,12,999,0,1,1.4,93.444,-36.1,4.963,5228.1,999,0,78,0,0,0,0
43.65,4,1,3,0,1,0,0,0,2,2,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,999,0,79,0,0,0,0
53,4,1,6,0,1,0,0,6,1,2,999,1,0,-1.8,92.893,-46.2,1.354,5099.1,999,1,80,0,0,0,0
35.40580565,0,2,3,0,0,0,1,6,4,1,999,0,1,1.1,93.994,-36.4,4.858,5191,999,0,81,0,0,0,0
33,0,1,2,0,0,0,1,6,3,1,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,82,0,0,0,0
30,0,1,3,0,1,0,0,0,2,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,999,0,83,0,0,0,0
51,1,1,1,0,0,1,1,6,1,3,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,84,0,0,0,0
45,1,1,2,0,0,0,0,1,4,1,999,0,1,1.4,93.444,-36.1,4.967,5228.1,999,0,85,0,0,0,0
50,0,0,2,0,1,1,0,3,1,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,86,0,0,0,0
33,0,2,6,0,0,1,0,1,4,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1,999,0,87,0,0,0,0
42.58731294,9,1,3,0,1,1,0,1,4,6,999,0,1,1.4,93.444,-36.1,4.967,5228.1,999,0,88,0,0,0,0
29,9,2,5,0,1,0,0,3,3,3,999,0,1,1.4,93.918,-42.7,4.961,5228.1,999,0,89,0,0,0,0
33,1,1,2,0,0,1,0,0,1,2,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,999,6,90,0,0,0,0
43,1,1,1,0,0,0,1,6,2,1,999,0,1,1.1,93.994,-36.4,4.855,5191,999,0,91,0,0,0,0
40.85976504,0,1,6,0,0,0,1,4,2,4,999,0,1,1.4,94.465,-41.8,4.866,5228.1,999,0,92,0,0,0,0
40,0,0,5,0,0,0,1,3,2,2,999,0,1,1.4,93.918,-42.7,4.966,5228.1,999,0,93,0,0,0,0
40.52742928,0,1,3,0,1,0,1,6,2,1,999,0,1,1.1,93.994,-36.4,4.86,5191,999,0,94,0,1,0,0
32.05113433,1,2,2,0,1,0,0,3,0,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,95,0,0,0,0
55,0,0,6,0,0,0,1,6,3,2,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,96,0,0,0,0
28,1,1,2,0,1,0,0,3,3,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,97,0,0,0,0
51,10,0,6,0,0,0,0,7,2,6,999,1,0,-0.1,93.2,-42,4.076,5195.8,999,1,98,0,0,0,0
49,4,1,6,0,0,0,0,7,0,2,999,0,1,-0.1,93.2,-42,4.021,5195.8,999,0,99,0,0,0,0
31,10,2,1,0,1,0,0,7,2,1,999,0,1,-0.1,93.2,-42,4.076,5195.8,999,0,100,0,0,0,0
38,0,0,6,0,0,0,0,6,1,1,999,0,1,-1.8,92.893,-46.2,1.299,5099.1,999,0,101,0,0,0,0
38.55565079,1,1,2,0,0,0,0,3,0,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,102,0,0,0,0
42.06456003,0,0,3,0,0,0,1,6,3,2,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,103,0,0,0,0
33,0,2,6,0,1,1,0,1,3,6,999,0,1,1.4,93.444,-36.1,4.963,5228.1,999,0,104,0,0,0,0
42.31204678,4,1,6,0,1,0,0,7,1,3,999,0,1,-0.1,93.2,-42,4.191,5195.8,999,0,105,0,0,0,0
37.3789529,1,1,1,0,1,0,1,6,4,1,999,0,1,1.1,93.994,-36.4,4.859,5191,999,0,106,0,0,0,0
42,1,1,0,0,0,0,1,4,3,4,999,0,1,1.4,94.465,-41.8,4.864,5228.1,999,0,107,0,0,0,0
39,1,2,2,0,1,0,0,6,4,1,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,999,0,108,0,0,0,0
43.36782506,9,0,5,0,0,1,1,6,0,3,999,0,1,1.1,93.994,-36.4,4.859,5191,999,0,109,0,0,0,0
36,1,1,1,0,1,0,0,6,3,5,999,0,1,-1.8,92.893,-46.2,1.344,5099.1,999,0,110,0,0,0,0
35,1,1,2,0,1,0,1,6,1,2,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,111,0,0,0,0
47,0,1,6,0,0,0,1,4,0,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1,999,0,112,0,0,0,0
77,5,1,0,0,1,0,0,9,2,1,999,0,1,-1.1,94.199,-37.5,0.879,4963.6,999,0,113,0,0,0,0
32,9,2,6,0,0,0,0,3,4,4,999,0,1,1.4,93.918,-42.7,4.963,5228.1,999,0,114,0,0,0,0
48,1,1,2,0,0,0,0,6,0,1,999,0,1,-1.8,92.893,-46.2,1.25,5099.1,999,0,115,0,0,0,0
52,7,1,1,0,1,0,0,6,4,2,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,999,0,116,0,0,0,0
37.78967391,10,1,3,0,0,0,0,3,1,7,999,0,1,1.4,93.918,-42.7,4.96,5228.1,999,0,117,0,0,0,0
42.23101925,10,1,3,0,0,1,1,6,4,12,999,0,1,1.1,93.994,-36.4,4.858,5191,999,0,118,0,0,0,0
37,7,1,3,0,0,0,1,6,0,3,999,0,1,1.1,93.994,-36.4,4.859,5191,999,0,119,0,0,0,0
47,9,1,5,0,1,0,0,1,4,2,999,0,1,1.4,93.444,-36.1,4.964,5228.1,999,0,120,0,0,0,0
56,1,1,0,0,0,0,1,3,1,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,121,0,0,0,0
40.23600221,9,1,3,0,0,0,1,6,4,3,999,0,1,1.1,93.994,-36.4,4.858,5191,999,0,122,0,0,0,0
43,0,1,3,0,1,0,0,6,1,4,3,1,2,-1.8,92.893,-46.2,1.354,5099.1,0.1,2,123,0,0,0,0
38,0,0,2,0,0,0,0,8,2,2,999,3,0,-1.1,94.601,-49.5,1.016,4963.6,999,3,124,0,0,0,0
42,1,2,0,0,0,0,1,4,4,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1,999,0,125,0,0,0,0
29,1,1,1,0,1,0,1,6,1,2,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,126,0,0,0,0
36,7,2,3,0,0,0,1,6,4,1,999,0,1,1.1,93.994,-36.4,4.858,5191,999,0,127,0,0,0,0
35,10,2,5,0,1,1,0,3,0,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,128,0,0,0,0
43.74115303,4,1,6,0,1,0,0,7,0,1,999,0,1,-0.1,93.2,-42,4.021,5195.8,999,0,129,0,0,0,0
40,1,1,3,0,1,0,1,6,4,1,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,130,0,0,0,0
31,9,1,5,0,0,1,0,7,0,5,999,0,1,-0.1,93.2,-42,4.021,5195.8,999,0,131,0,0,0,0
50,1,1,0,0,1,0,0,3,1,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,132,0,0,0,0
25,8,2,3,0,1,1,1,4,3,1,999,0,1,1.4,94.465,-41.8,4.96,5228.1,999,0,133,0,0,0,0
46.75156566,4,1,6,0,1,0,1,6,2,4,999,0,1,1.1,93.994,-36.4,4.86,5191,999,0,134,0,0,0,0
40,4,1,6,0,1,0,0,0,1,2,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,999,2,135,0,0,0,0
46,3,2,0,0,1,0,0,2,1,1,6,1,2,-3,92.713,-33,0.706,5023.5,0.2,1,136,1,1,1,1
43.96173508,1,1,3,0,1,0,0,1,3,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,999,0,137,0,0,0,0
32,1,1,1,0,1,0,1,6,2,3,999,0,1,1.1,93.994,-36.4,4.86,5191,999,0,138,0,0,0,0
43.95321631,0,1,6,0,1,0,0,1,4,3,999,0,1,1.4,93.444,-36.1,4.964,5228.1,999,0,139,0,0,0,0
33,7,1,3,0,0,0,0,7,4,2,999,0,1,-0.1,93.2,-42,4.12,5195.8,999,0,140,0,0,0,0
36,1,1,0,0,1,0,0,6,1,2,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,999,0,141,0,0,0,0
38.97044452,7,1,3,0,1,0,1,6,3,1,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,142,0,0,0,0
42.07206462,9,0,5,0,1,0,1,6,0,1,999,0,1,1.1,93.994,-36.4,4.859,5191,999,0,143,0,0,0,0
34,7,1,3,0,1,1,0,6,4,1,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,999,0,144,0,0,0,0
39.43419047,9,1,5,0,0,0,1,6,3,1,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,145,0,0,0,0
43,2,2,6,0,0,1,0,3,0,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,146,0,0,0,0
34,0,2,6,0,0,0,0,1,2,3,999,0,1,1.4,93.444,-36.1,4.968,5228.1,999,0,147,0,0,0,0
70,5,1,0,0,1,0,0,6,2,1,3,2,2,-1.8,93.876,-40,0.683,5008.7,0.1,0,148,1,1,1,1
50,4,1,6,0,0,0,0,7,2,1,999,1,0,-0.1,93.2,-42,4.076,5195.8,999,2,149,0,0,0,0
32,9,2,6,0,0,0,0,1,2,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,999,0,150,0,0,0,0
36,9,1,5,0,0,0,1,6,4,10,999,0,1,1.1,93.994,-36.4,4.858,5191,999,0,151,0,0,0,0
52,0,1,6,0,0,1,0,6,2,3,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,999,0,152,0,0,0,0
45,1,1,5,0,0,0,0,8,3,1,999,0,1,-3.4,92.431,-26.9,0.744,5017.5,999,0,153,1,0,0,0
46,4,1,2,0,1,1,1,6,3,2,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,154,0,0,0,0
34,9,1,6,0,1,1,0,1,0,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,999,0,155,0,0,0,0
37.5351052,7,1,3,0,1,0,0,6,2,12,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,999,0,156,0,0,0,0
30,1,1,2,0,0,0,0,3,3,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,157,0,0,0,0
43.60333548,1,1,2,0,1,0,0,0,0,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,999,0,158,0,0,0,0
60,0,1,2,0,1,0,0,2,4,1,999,0,1,-3,92.713,-33,0.721,5023.5,999,0,159,0,0,0,0
34,1,1,5,0,1,0,0,6,0,4,999,1,0,-1.8,92.893,-46.2,1.25,5099.1,999,3,160,0,0,0,0
55,0,1,3,0,1,0,0,7,3,1,999,0,1,-0.1,93.2,-42,4.153,5195.8,999,0,161,0,0,0,0
40.46666667,7,1,3,0,1,0,0,0,2,1,999,1,0,-1.8,93.075,-47.1,1.365,5099.1,999,0,162,0,0,0,0
36,4,1,6,0,1,0,0,6,0,1,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,999,0,163,0,0,0,0
43.0571131,4,1,3,0,1,0,1,4,0,3,999,0,1,1.4,94.465,-41.8,4.958,5228.1,999,0,164,0,0,0,0
36.1647619,0,2,3,0,0,0,0,0,1,3,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,999,0,165,0,0,0,0
38.60049713,7,1,3,0,1,0,1,6,4,1,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,166,0,0,0,0
35.09790759,9,2,3,0,0,0,1,4,2,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,999,0,167,0,0,0,0
41.04,0,1,5,0,0,1,1,5,2,2,999,1,0,-1.8,93.369,-34.8,0.654,5008.7,999,2,168,0,0,0,0
51.36294051,5,1,2,0,0,0,0,3,0,1,999,0,1,1.4,93.918,-42.7,4.959,5228.1,999,0,169,0,0,0,0
37,0,1,6,0,0,0,0,1,4,3,999,0,1,1.4,93.444,-36.1,4.967,5228.1,999,0,170,0,0,0,0
55,0,1,6,0,0,0,0,7,0,1,999,0,1,-0.1,93.2,-42,4.021,5195.8,999,0,171,0,0,0,0
44.41294151,1,1,5,0,0,0,0,1,0,4,999,0,1,1.4,93.444,-36.1,4.966,5228.1,999,0,172,0,0,0,0
46,10,1,1,0,0,0,0,4,3,1,999,0,1,-2.9,92.963,-40.8,1.262,5076.2,999,0,173,0,0,0,0
30,6,2,6,0,1,0,0,9,3,1,999,0,1,-3.4,92.379,-29.8,0.788,5017.5,999,0,174,1,0,0,0
34,4,2,6,0,1,0,0,6,0,2,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,999,0,175,0,0,0,0
32,1,1,2,0,1,0,1,7,3,1,999,0,1,-0.1,93.2,-42,4.153,5195.8,999,0,176,0,0,0,0
42.57098521,7,0,3,0,0,0,1,4,2,1,999,0,1,1.4,94.465,-41.8,4.958,5228.1,999,0,177,0,0,0,0
40,1,1,1,0,0,0,0,3,2,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,999,0,178,0,0,0,0
28,7,2,3,0,1,0,0,6,1,6,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,999,0,179,0,0,0,0
36.66050353,0,2,3,0,1,1,1,7,2,2,999,0,1,-0.1,93.2,-42,4.076,5195.8,999,0,180,0,0,0,0
34,1,1,0,0,1,0,1,4,3,8,999,0,1,1.4,94.465,-41.8,4.864,5228.1,999,0,181,0,0,0,0
50,10,1,5,0,0,0,0,3,2,3,999,0,1,1.4,93.918,-42.7,4.968,5228.1,999,0,182,0,0,0,0
46.24712947,3,1,0,0,1,0,1,6,3,2,999,0,1,1.1,93.994,-36.4,4.856,5191,999,0,183,0,0,0,0
40,0,1,6,0,1,1,1,6,4,2,999,0,1,1.1,93.994,-36.4,4.858,5191,999,0,184,0,0,0,0
48,0,1,6,0,1,0,0,7,4,2,999,1,0,-0.1,93.2,-42,4.12,5195.8,999,3,185,0,0,0,0
40,9,2,5,0,1,0,0,6,0,1,999,1,0,-1.8,92.893,-46.2,1.259,5099.1,999,1,186,0,0,0,0
28,0,1,3,0,1,0,1,3,3,1,999,0,1,1.4,93.918,-42.7,4.955,5228.1,999,0,187,0,0,0,0
45,0,1,6,0,1,0,1,6,4,2,999,0,1,1.1,93.994,-36.4,4.859,5191,999,0,188,0,0,0,0
58,5,1,0,0,1,0,0,4,3,2,999,0,1,-2.9,92.963,-40.8,1.252,5076.2,999,0,189,0,0,0,0
40,0,1,6,0,1,0,0,3,3,1,999,0,1,-2.9,92.469,-33.6,1.044,5076.2,999,0,190,0,0,0,0
50,0,2,1,0,1,0,0,7,2,1,999,0,1,-0.1,93.2,-42,4.076,5195.8,999,0,191,0,0,0,0
39,9,0,5,0,1,0,0,1,0,3,999,0,1,1.4,93.444,-36.1,4.966,5228.1,999,0,192,0,0,0,0
30,1,2,2,0,1,0,0,0,1,4,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,999,0,193,0,0,0,0
41.81370861,7,0,6,0,0,0,0,3,1,1,999,0,1,1.4,93.918,-42.7,4.96,5228.1,999,0,194,0,0,0,0
47,1,1,2,0,0,0,0,6,3,2,999,1,0,-1.8,92.893,-46.2,1.291,5099.1,999,1,195,0,0,0,0
58,5,0,0,0,1,0,0,3,1,5,999,0,1,1.4,93.918,-42.7,4.962,5228.1,999,0,196,0,0,0,0
42.98378947,2,1,1,0,1,1,1,6,0,1,999,0,1,1.1,93.994,-36.4,4.857,5191,999,0,197,0,0,0,0
32,0,2,3,0,0,0,0,1,3,4,999,0,1,1.4,93.444,-36.1,4.963,5228.1,999,0,198,0,0,0,0
45,4,1,6,0,0,0,0,3,4,2,999,0,1,1.4,93.918,-42.7,4.957,5228.1,999,0,199,0,0,0,0
38,1,1,2,0,0,0,0,3,0,1,999,0,1,1.4,93.918,-42.7,4.957,5228.1,999,0,200,0,0,0,0
60,3,1,0,0,1,0,0,3,2,1,999,0,1,-2.9,92.469,-33.6,1.072,5076.2,999,0,201,0,0,0,0
40.14384583,0,2,6,0,0,0,0,7,4,5,999,0,1,-0.1,93.2,-42,4.12,5195.8,999,0,202,0,0,0,0
41.59805511,4,1,6,0,1,0,0,3,3,9,999,0,1,1.4,93.918,-42.7,4.961,5228.1,999,0,203,0,0,0,0
37,3,2,6,0,0,0,0,6,0,2,999,0,1,-1.8,92.893,-46.2,1.259,5099.1,999,0,204,0,0,0,0
36,1,1,0,0,1,1,0,6,2,1,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,999,0,205,0,0,0,0
41.3722488,6,1,1,0,0,0,0,0,1,3,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,999,3,206,0,0,0,0
34.06305191,1,2,2,0,1,0,0,7,2,2,999,0,1,-0.1,93.2,-42,4.076,5195.8,999,0,207,0,0,0,0
39,0,1,3,0,0,0,0,4,1,1,999,1,0,-2.9,92.963,-40.8,1.215,5076.2,999,3,208,0,0,0,0
51,4,1,6,0,0,0,0,1,2,2,999,0,1,1.4,93.444,-36.1,4.963,5228.1,999,0,209,0,0,0,0
44.58702254,6,1,0,0,0,0,1,6,4,2,999,0,1,1.1,93.994,-36.4,4.858,5191,999,0,210,0,0,0,0
37,1,1,2,0,1,0,0,3,1,1,999,0,1,1.4,93.918,-42.7,4.96,5228.1,999,0,211,0,0,0,0
46,6,1,6,0,0,1,0,1,2,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,999,0,212,0,0,0,0
