custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail
28,blue-collar,single,basic.4y,no,no,no,telephone,may,tue,7,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
53,blue-collar,married,basic.4y,no,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0
30,admin.,single,high.school,no,no,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,999,0
29,admin.,single,high.school,no,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
30,blue-collar,married,basic.6y,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0
42.73583805,admin.,married,high.school,no,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999,0
29,technician,married,professional.course,no,yes,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0
37.33736236,blue-collar,single,basic.4y,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,999,0
63,technician,married,professional.course,no,no,no,cellular,aug,tue,1,999,1,failure,-2.9,92.201,-31.4,0.838,5076.2,999,2
31.93261905,admin.,single,high.school,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0
36.16517011,services,single,high.school,no,yes,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0
33.98626889,admin.,married,high.school,no,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
19,student,single,high.school,no,yes,yes,cellular,apr,fri,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,6,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0
52,admin.,married,high.school,no,yes,no,cellular,nov,wed,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,999,0
56,services,married,high.school,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0
31.39180358,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
45.77479927,blue-collar,divorced,basic.6y,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0
43.57325221,technician,married,professional.course,no,yes,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,999,0
31,services,single,high.school,no,yes,no,cellular,jul,thu,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0
40,management,divorced,university.degree,no,yes,yes,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0
42.98122566,technician,married,professional.course,no,no,no,telephone,may,tue,10,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
42,blue-collar,divorced,basic.4y,no,no,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0
40.55165913,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0
38,technician,single,professional.course,no,no,no,cellular,apr,mon,6,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0
49,services,married,high.school,no,no,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
40,admin.,divorced,university.degree,no,no,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0
28,admin.,divorced,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,999,0
36,services,married,high.school,no,yes,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0
34,admin.,single,high.school,no,no,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0
51,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,999,2
37.52380952,blue-collar,single,professional.course,no,no,no,cellular,may,tue,1,999,1,failure,-1.8,93.876,-40,0.668,5008.7,999,3
25,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0
25,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
38,technician,married,professional.course,no,no,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0
39,blue-collar,single,basic.9y,no,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0
51.37962059,blue-collar,married,basic.4y,no,yes,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0
35,admin.,married,university.degree,no,no,yes,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0
56,retired,married,high.school,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
33,blue-collar,married,basic.9y,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0
41,admin.,single,university.degree,no,yes,yes,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0
28,admin.,single,university.degree,no,yes,no,telephone,jun,thu,6,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0
32,technician,married,university.degree,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,999,0
30,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
56,management,married,university.degree,no,yes,no,cellular,jun,wed,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999,0
59,retired,married,basic.6y,no,no,no,cellular,aug,wed,2,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,999,4
46,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0
37.27666875,admin.,married,high.school,no,yes,yes,telephone,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
35,entrepreneur,married,basic.9y,no,yes,yes,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0
40,admin.,married,university.degree,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0
51,blue-collar,married,professional.course,no,no,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
32.75,services,single,professional.course,no,yes,no,cellular,jun,tue,1,999,2,failure,-2.9,92.963,-40.8,1.262,5076.2,999,4
57,technician,divorced,basic.6y,no,yes,no,cellular,may,mon,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0
53,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0
43,unemployed,married,university.degree,no,no,no,telephone,aug,tue,12,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0
43.65,management,married,high.school,no,yes,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,999,0
53,management,married,university.degree,no,yes,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,999,1
35.40580565,admin.,single,high.school,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0
33,admin.,married,basic.9y,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
30,admin.,married,high.school,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,999,0
51,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
45,blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0
50,admin.,divorced,basic.9y,no,yes,yes,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
33,admin.,single,university.degree,no,no,yes,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0
42.58731294,technician,married,high.school,no,yes,yes,cellular,aug,wed,6,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0
29,technician,single,professional.course,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0
33,blue-collar,married,basic.9y,no,no,yes,cellular,apr,mon,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,999,6
43,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0
40.85976504,admin.,married,university.degree,no,no,no,telephone,jun,thu,4,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0
40,admin.,divorced,professional.course,no,no,no,telephone,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,999,0
40.52742928,admin.,married,high.school,no,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0
32.05113433,blue-collar,single,basic.9y,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
55,admin.,divorced,university.degree,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
28,blue-collar,married,basic.9y,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
51,unemployed,divorced,university.degree,no,no,no,cellular,nov,thu,6,999,1,failure,-0.1,93.2,-42,4.076,5195.8,999,1
49,management,married,university.degree,no,no,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0
31,unemployed,single,basic.6y,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0
38,admin.,divorced,university.degree,no,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,999,0
38.55565079,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
42.06456003,admin.,divorced,high.school,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
33,admin.,single,university.degree,no,yes,yes,cellular,aug,tue,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0
42.31204678,management,married,university.degree,no,yes,no,cellular,nov,mon,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0
37.3789529,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0
42,blue-collar,married,basic.4y,no,no,no,telephone,jun,tue,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0
39,blue-collar,single,basic.9y,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,999,0
43.36782506,technician,divorced,professional.course,no,no,yes,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0
36,blue-collar,married,basic.6y,no,yes,no,cellular,may,tue,5,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,999,0
35,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
47,admin.,married,university.degree,no,no,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0
77,retired,married,basic.4y,no,yes,no,cellular,sep,thu,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,999,0
32,technician,single,university.degree,no,no,no,cellular,jul,wed,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0
48,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,999,0
52,services,married,basic.6y,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,999,0
37.78967391,unemployed,married,high.school,no,no,no,cellular,jul,mon,7,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0
42.23101925,unemployed,married,high.school,no,no,yes,telephone,may,wed,12,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0
37,services,married,high.school,no,no,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0
47,technician,married,professional.course,no,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0
56,blue-collar,married,basic.4y,no,no,no,telephone,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
40.23600221,technician,married,high.school,no,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0
43,admin.,married,high.school,no,yes,no,cellular,may,mon,4,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,0.1,2
38,admin.,divorced,basic.9y,no,no,no,cellular,oct,thu,2,999,3,failure,-1.1,94.601,-49.5,1.016,4963.6,999,3
42,blue-collar,single,basic.4y,no,no,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0
29,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
36,services,single,high.school,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0
35,unemployed,single,professional.course,no,yes,yes,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
43.74115303,management,married,university.degree,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0
40,blue-collar,married,high.school,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
31,technician,married,professional.course,no,no,yes,cellular,nov,fri,5,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0
50,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
25,student,single,high.school,no,yes,yes,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999,0
46.75156566,management,married,university.degree,no,yes,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0
40,management,married,university.degree,no,yes,no,cellular,apr,mon,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,999,2
46,housemaid,single,basic.4y,no,yes,no,cellular,dec,mon,1,6,1,success,-3,92.713,-33,0.706,5023.5,0.2,1
43.96173508,blue-collar,married,high.school,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0
32,blue-collar,married,basic.6y,no,yes,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0
43.95321631,admin.,married,university.degree,no,yes,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0
33,services,married,high.school,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0
36,blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0
38.97044452,services,married,high.school,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
42.07206462,technician,divorced,professional.course,no,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0
34,services,married,high.school,no,yes,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0
39.43419047,technician,married,professional.course,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
43,entrepreneur,single,university.degree,no,no,yes,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
34,admin.,single,university.degree,no,no,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0
70,retired,married,basic.4y,no,yes,no,cellular,may,thu,1,3,2,success,-1.8,93.876,-40,0.683,5008.7,0.1,0
50,management,married,university.degree,no,no,no,cellular,nov,thu,1,999,1,failure,-0.1,93.2,-42,4.076,5195.8,999,2
32,technician,single,university.degree,no,no,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0
36,technician,married,professional.course,no,no,no,telephone,may,wed,10,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0
52,admin.,married,university.degree,no,no,yes,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0
45,blue-collar,married,professional.course,no,no,no,cellular,oct,tue,1,999,0,nonexistent,-3.4,92.431,-26.9,0.744,5017.5,999,0
46,management,married,basic.9y,no,yes,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
34,technician,married,university.degree,no,yes,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0
37.5351052,services,married,high.school,no,yes,no,cellular,may,thu,12,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0
30,blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
43.60333548,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0
60,admin.,married,basic.9y,no,yes,no,cellular,dec,wed,1,999,0,nonexistent,-3,92.713,-33,0.721,5023.5,999,0
34,blue-collar,married,professional.course,no,yes,no,cellular,may,fri,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,999,3
55,admin.,married,high.school,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0
40.46666667,services,married,high.school,no,yes,no,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,999,0
36,management,married,university.degree,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0
43.0571131,management,married,high.school,no,yes,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999,0
36.1647619,admin.,single,high.school,no,no,no,cellular,apr,mon,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0
38.60049713,services,married,high.school,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
35.09790759,technician,single,high.school,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0
41.04,admin.,married,professional.course,no,no,yes,telephone,mar,thu,2,999,1,failure,-1.8,93.369,-34.8,0.654,5008.7,999,2
51.36294051,retired,married,basic.9y,no,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,999,0
37,admin.,married,university.degree,no,no,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0
55,admin.,married,university.degree,no,no,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0
44.41294151,blue-collar,married,professional.course,no,no,no,cellular,aug,fri,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0
46,unemployed,married,basic.6y,no,no,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,999,0
30,self-employed,single,university.degree,no,yes,no,cellular,sep,tue,1,999,0,nonexistent,-3.4,92.379,-29.8,0.788,5017.5,999,0
34,management,single,university.degree,no,yes,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,999,0
32,blue-collar,married,basic.9y,no,yes,no,telephone,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0
42.57098521,services,divorced,high.school,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999,0
40,blue-collar,married,basic.6y,no,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0
28,services,single,high.school,no,yes,no,cellular,may,mon,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0
36.66050353,admin.,single,high.school,no,yes,yes,telephone,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0
34,blue-collar,married,basic.4y,no,yes,no,telephone,jun,tue,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0
50,unemployed,married,professional.course,no,no,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0
46.24712947,housemaid,married,basic.4y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0
40,admin.,married,university.degree,no,yes,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0
48,admin.,married,university.degree,no,yes,no,cellular,nov,wed,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,999,3
40,technician,single,professional.course,no,yes,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.259,5099.1,999,1
28,admin.,married,high.school,no,yes,no,telephone,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,999,0
45,admin.,married,university.degree,no,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0
58,retired,married,basic.4y,no,yes,no,cellular,jun,tue,2,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,999,0
40,admin.,married,university.degree,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,999,0
50,admin.,single,basic.6y,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0
39,technician,divorced,professional.course,no,yes,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0
30,blue-collar,single,basic.9y,no,yes,no,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0
41.81370861,services,divorced,university.degree,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0
47,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,2,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,999,1
58,retired,divorced,basic.4y,no,yes,no,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0
42.98378947,entrepreneur,married,basic.6y,no,yes,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0
32,admin.,single,high.school,no,no,no,cellular,aug,tue,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0
45,management,married,university.degree,no,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0
38,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0
60,housemaid,married,basic.4y,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,999,0
40.14384583,admin.,single,university.degree,no,no,no,cellular,nov,wed,5,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0
